,Unnamed: 0,CPI,CPI_imputed,Date,Dept,Fuel_Price,IsHoliday,Promotion1,Promotion1_imputed,Promotion2,Promotion2_imputed,Promotion3,Promotion3_imputed,Promotion4,Promotion4_imputed,Promotion5,Promotion5_imputed,Size (sq ft),Store,Temperature,Type,Unemployment,Weekly_Sales,Weekly_Sales to be predicted,Weekly_Sales_imputed
50178,33316,0.0,0.0,2013-02-15,34,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,0.0,0,0.0,0.0,0,-13.073977789409582
48999,32137,0.0,0.0,2012-11-30,3,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,0.0,0,0.0,0.0,0,1149.3540178823978
25042,8180,0.0,0.0,2013-01-11,4,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,0,0.0,0.0,0,1332.7368435141498
43594,26732,0.0,0.0,2013-03-01,2,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0.0,0,0.0,0.0,0,1353.8089435990719
52308,35446,0.0,0.0,2013-01-04,16,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0,0.0,0.0,0,586.5183538115471
10618,8270,217.48536049999998,180.978980055344,2011-11-04,92,3.332,False,0.0,-44.703682642499196,0.0,335.29314289188596,0.0,-526.3757476743509,0.0,19.2680972455273,0.0,62.813053223942006,140167,21,56.01,B,7.441,27951.37,0,19201.37707550482
34044,17182,0.0,0.0,2013-06-28,30,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0.0,0,0.0,0.0,0,1002.8441374636241
52423,35561,0.0,0.0,2013-02-22,19,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0,0.0,0.0,0,848.2594179565144
747,16037,211.21563500000002,181.309674752771,2010-03-19,91,2.72,False,0.0,-407.70318676754,0.0,1521.72904323461,0.0,-268.808623795464,0.0,403.64136719281197,0.0,16.2958724058735,151315,1,54.58,A,8.106,63250.87,0,69326.61900283567
40030,23168,0.0,0.0,2013-01-04,54,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0.0,0,0.0,0.0,0,-763.7562385400443
46725,29863,0.0,0.0,2012-11-16,12,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,0.0,0,0.0,0.0,0,802.2392950242684
43741,26879,0.0,0.0,2012-12-28,6,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0.0,0,0.0,0.0,0,1516.5589403923072
32897,16035,0.0,0.0,2013-01-25,98,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0,0.0,0.0,0,424.272226977424
27867,11005,0.0,0.0,2013-06-14,4,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0.0,0,0.0,0.0,0,1282.556563483593
17350,488,0.0,0.0,2013-03-22,13,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,0.0,0.0,0,1524.3624648872756
47856,30994,0.0,0.0,2012-12-14,46,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,0.0,0,0.0,0.0,0,-383.0954041733312
42297,25435,0.0,0.0,2013-05-31,42,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0,0.0,0.0,0,85.12898526730078
39243,22381,0.0,0.0,2013-06-28,25,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0.0,0,0.0,0.0,0,836.3603350759422
33921,17059,0.0,0.0,2013-05-17,27,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0.0,0,0.0,0.0,0,1089.9555015485962
52472,35610,0.0,0.0,2013-05-03,20,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0,0.0,0.0,0,794.0481782530601
59673,42811,0.0,0.0,2013-02-22,96,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,0.0,0,0.0,0.0,0,279.96516266194885
29492,12630,0.0,0.0,2013-07-26,58,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0.0,0,0.0,0.0,0,-445.9370318943993
27236,10374,0.0,0.0,2013-02-08,83,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,0,0.0,0.0,0,150.08945076514829
43759,26897,0.0,0.0,2013-05-03,6,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0.0,0,0.0,0.0,0,1516.5589403923072
18438,1576,0.0,0.0,2013-04-12,44,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,0.0,0.0,0,270.64356841837343
40273,23411,0.0,0.0,2013-01-11,72,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0.0,0,0.0,0.0,0,-258.48448736212595
4710,2895,215.3721,182.752316569662,2010-11-12,3,2.728,False,0.0,-54.998329017486896,0.0,1729.75948070979,0.0,40.7101852914302,0.0,308.54493877242,0.0,-82.2170064508075,155078,8,54.89,A,6.433,8530.71,0,26553.879818226156
16447,2391,224.804222,173.221791416552,2012-10-05,26,3.617,False,9663.09,9196.00095959335,0.0,647.135439265982,40.93,87.71178182560621,3720.0,2871.12302746058,5941.24,5613.2439723158805,202505,6,70.84,A,5.329,9707.86,0,8752.659243977687
1827,14930,126.18438710000001,134.887180883431,2010-05-21,98,3.12,False,0.0,459.096633199476,0.0,-221.548588495245,0.0,-1580.53625180095,0.0,-122.546811924686,0.0,538.551720971254,39690,42,78.32,C,9.524,6140.56,0,31191.20338278406
48468,31606,0.0,0.0,2013-01-25,82,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,0.0,0,0.0,0.0,0,-129.1514046520615
59792,42930,0.0,0.0,2013-03-29,1,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17,0.0,0,0.0,0.0,0,-228.652801834176
64142,47280,0.0,0.0,2012-11-30,52,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18,0.0,0,0.0,0.0,0,211.82644049893224
40686,23824,0.0,0.0,2013-03-01,95,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0.0,0,0.0,0.0,0,260.34653361292703
1380,15048,126.47133329999998,158.685850483939,2010-04-23,97,2.9360000000000004,False,0.0,51.261520564958104,0.0,-803.2196456178999,0.0,-571.753526398922,0.0,5.6585156343398895,0.0,232.58984132633998,219622,13,55.66,A,8.107000000000001,25101.89,0,65450.24404944531
27778,10916,0.0,0.0,2013-03-29,2,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0.0,0,0.0,0.0,0,1191.4336193395357
8164,7558,215.27365530000003,197.491566222359,2011-06-03,8,3.699,False,0.0,280.38721501385896,0.0,-433.325703356362,0.0,285.653731170229,0.0,-132.89627800916202,0.0,415.049572548746,151315,1,83.0,A,7.682,36767.22,0,26348.252425873856
36949,20087,0.0,0.0,2012-12-14,36,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0.0,0,0.0,0.0,0,672.7576352749788
21244,4382,0.0,0.0,2012-11-02,46,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,0,0.0,0.0,0,-68.57719174699832
34421,17559,0.0,0.0,2013-03-29,42,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0.0,0,0.0,0.0,0,443.34176696843906
35782,18920,0.0,0.0,2012-11-30,5,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0.0,0,0.0,0.0,0,1480.6032968997638
43340,26478,0.0,0.0,2013-01-25,93,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0,0.0,0.0,0,183.15753179970307
58896,42034,0.0,0.0,2013-06-14,55,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,0.0,0,0.0,0.0,0,-353.9549248713438
60897,44035,0.0,0.0,2012-11-09,31,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17,0.0,0,0.0,0.0,0,125.35460366975667
