,Unnamed: 0,Store,Dept,Date,Weekly_Sales,IsHoliday,Temperature,Fuel_Price,Promotion1,Promotion2,Promotion3,Promotion4,Promotion5,CPI,Unemployment,Type,Size (sq ft),Promotion1_imputed,Promotion2_imputed,Promotion3_imputed,Promotion4_imputed,Promotion5_imputed,CPI_imputed,Weekly_Sales_imputed
23957,23957,34,67,2010-12-31,4555.33,True,34.11,2.955,0.0,0.0,0.0,0.0,0.0,127.0876774,10.21,A,158114,-23.376474270423387,-1607.9855514291894,-353.82642953318754,-301.25521844071704,-80.10694876421462,154.36738765813254,5862.466555988107
54545,54545,43,97,2012-06-15,20011.29,False,87.75,3.393,402.48,0.0,0.65,0.0,1315.66,213.1786952,9.575,C,41062,2095.4679320082205,1228.1181081586215,688.2137621614313,123.82265017374183,554.5097226900143,219.549703385976,19622.97246402996
50529,50529,10,29,2011-09-30,12505.63,False,82.27,3.877,0.0,0.0,0.0,0.0,0.0,129.6060667,8.257,B,126512,278.28849617100286,-1401.2487253456884,317.92563572527297,-157.03294306647493,519.280496830756,139.63121907717345,13679.830947500443
45821,45821,40,34,2010-04-02,9882.8,False,41.39,2.826,0.0,0.0,0.0,0.0,0.0,131.9019677,5.435,A,155083,160.64014882080983,-131.22403973255322,-700.3247731768198,36.99589082563443,-18.198699860932493,159.88992865080098,12142.98380407993
66574,66574,26,92,2010-02-26,71127.2,False,27.32,2.753,0.0,0.0,0.0,0.0,0.0,131.686,8.488,A,152513,249.20738619336728,-3010.555323534992,26.83892807040246,-10.33332396744936,-2.1161635619064327,149.4284670086804,59436.916811272946
1067,1067,2,29,2011-01-21,6695.85,False,41.4,3.016,0.0,0.0,0.0,0.0,0.0,211.4864691,8.027999999999999,A,202307,-310.5327213773185,895.6187014854172,473.8855383426485,60.4929938909354,14.693996151653893,158.33749330936038,6933.987253278987
69893,69893,28,71,2011-07-01,6052.43,False,89.85,3.842,0.0,0.0,0.0,0.0,0.0,129.0894,13.503,A,206302,454.959241588896,-1469.946714070881,1337.2900439317755,-211.99319487366242,-21.35675621290329,127.9896999570199,10602.683550042908
9592,9592,19,94,2012-03-02,34786.1,False,34.83,3.983,28177.29,3485.95,22.78,31324.8,2851.55,137.4238966,7.943,A,203819,28668.420796292135,-169.36463275888426,824.3248183490573,28293.50936811668,2453.358267619464,107.82138716086472,16783.414431729194
76069,76069,7,74,2011-04-22,8450.92,False,31.84,3.636,0.0,0.0,0.0,0.0,0.0,192.5234638,8.595,B,70713,-933.268396228033,-224.54981548748054,-1247.4963303420038,-868.7094437756289,370.9783914906475,152.36986816270667,-7019.7938965128415
55045,55045,21,8,2010-02-12,18469.82,True,37.77,2.548,0.0,0.0,0.0,0.0,0.0,210.8979935,8.324,B,140167,-52.73828156313266,178.71577982243446,811.4404334529953,102.01639929597376,302.32669549710954,190.0242013975631,6637.279064771834
12004,12004,44,80,2011-07-29,4544.56,False,77.62,3.574,0.0,0.0,0.0,0.0,0.0,129.16770970000002,6.56,C,39910,494.6489738042565,48.6826426205995,-672.4066400208924,214.9889457424576,134.034279246584,183.22098726145882,14803.8662234794
47415,47415,23,42,2012-05-04,11820.12,False,45.88,3.991,9941.93,0.0,99.93,4899.79,2841.41,138.0332,4.125,B,114533,12526.408045844537,1219.1787738771359,-141.83072366972652,2276.254120315406,4886.766978937851,149.79426491661158,13363.432521716972
77083,77083,12,56,2011-04-22,3405.58,False,72.12,4.134,0.0,0.0,0.0,0.0,0.0,128.9553,13.736,B,112238,-10.732073051728094,-1061.3713023165717,332.8873016772054,-386.0379832291121,553.7770777198243,123.96198293258482,12647.936400616332
74093,74093,24,85,2011-07-22,1726.42,False,79.29,3.972,0.0,0.0,0.0,0.0,0.0,135.8738387,8.357999999999999,A,203819,165.7903657950569,-972.9358753985077,616.7500514898322,-19.09585796996498,-223.15500042159584,124.0312790369434,17360.303648089222
22397,22397,6,6,2011-05-13,8443.93,False,76.95,3.899,0.0,0.0,0.0,0.0,0.0,217.5247882,6.855,A,202505,-218.5320060219296,-119.66470227580658,-380.24000833445297,-646.9039513296855,530.3485076518391,157.168576706634,5325.997841963232
33769,33769,10,17,2010-09-17,28201.04,False,85.52,3.028,0.0,0.0,0.0,0.0,0.0,126.1454667,9.199,B,126512,590.1316380705953,-279.62815842023656,-899.5497876026387,27.79419557160668,231.90791406827407,124.72463221693232,24160.63892919165
13382,13382,31,83,2012-05-25,7868.29,False,79.49,3.5610000000000004,12146.84,0.0,488.13,2066.74,5802.72,221.3828029,6.891,A,203750,9145.918192253392,249.01636548522842,-22.31530829611836,3020.7371754265123,3290.8472940371753,201.05180296907815,8063.6061954761835
